ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
3,23,7,9,0,0,1,,2,S,0,S,25,0.01517,0.774948,0.011756,,0
3,24,5,1,0,0,1,,4,S,0,S,15,0.750608,0.022639,0.016993,,0
3,25,3,9,0,0,1,,6,S,0,S,16,0,0.787834,0,,0
3,26,9,8,0,0,0,,1,S,0,S,19,0.025552,0.759491,0.019406,,L
3,27,2,4,0,0,1,,2,S,0,S,20,0.016381,0.771339,0.012635,,0
3,28,6,1,0,0,1,,5,S,0,S,15,0.793862,0,0,,0
3,29,8,4,0,0,1,,4,S,0,S,17,0.774388,0.011027,0.008539,,0
3,30,7,6,0,0,1,,1,S,0,S,22,0.791553,0,0,,0
3,31,1,3,0,0,1,,2,S,0,S,17,0.026921,0.753571,0.020287,,0
3,32,6,3,0,0,1,,3,S,0,S,16,0.756368,0.023182,0.017534,,0
3,33,9,7,0,0,1,,2,S,0,S,21,0.782685,0.005675,0.004442,,0
3,34,5,9,0,0,1,,4,S,0,S,19,0.002055,0.790995,0.001626,,0
3,35,3,4,0,0,1,,1,S,0,S,21,0.003313,0.789337,0.002615,,0
3,36,5,8,0,0,1,,3,S,0,S,16,0.001421,0.785854,0.001117,,0
3,37,2,3,0,0,1,,1,S,0,S,21,0.008886,0.781587,0.006945,,0
3,38,5,6,0,0,1,,1,S,0,S,22,0.031584,0.752467,0.023766,,0
3,39,6,5,0,0,1,,1,S,0,S,17,0.77906,0.007292,0.005681,,0
3,40,2,9,0,0,1,,7,L,0,S,16,0,0.792851,0,,0
3,41,4,7,0,0,1,,3,S,0,S,17,0.008419,0.777715,0.006548,,0
3,42,3,8,0,0,1,,5,S,0,S,14,0.016526,0.757491,0.012518,,0
3,43,9,3,0,0,1,,6,S,0,S,16,0.792957,0,0,,0
3,44,4,6,0,0,1,,2,S,0,S,19,0,0.794633,0,,0
3,45,8,3,0,0,1,,5,S,0,S,17,0.786429,0.001559,0.001226,,0
3,46,3,5,0,0,1,,2,S,0,S,20,0.007141,0.783808,0.005597,,0
3,47,1,6,0,0,1,,5,S,0,S,15,0.01998,0.753153,0.015048,,0
3,48,3,1,0,0,1,,2,S,0,S,18,0.775194,0.009005,0.006981,,0
3,49,2,7,0,0,1,,5,S,0,S,16,0,0.786567,0,,0
3,50,9,6,0,0,1,,3,S,0,S,18,0.763495,0.017937,0.013695,,0
3,51,5,3,0,0,1,,2,S,0,S,18,0.752727,0.030643,0.023066,,0
3,52,1,2,0,0,1,,1,S,0,S,19,0.015894,0.770038,0.012239,,S
3,53,7,3,0,0,1,,4,S,0,S,17,0.786614,0,0,,0
3,54,7,8,0,0,1,,1,S,0,S,17,0.018904,0.763274,0.014429,,0
3,55,5,4,0,0,1,,1,S,0,S,19,0.777064,0.012378,0.009619,,0
3,56,4,1,0,0,1,,3,S,0,S,16,0.757016,0.021535,0.016302,,0
3,57,2,5,0,0,1,,3,S,0,S,19,0.025125,0.759261,0.019077,,0
3,58,8,1,0,0,1,,7,L,0,S,15,0.785149,0,0,,0
3,59,4,5,0,0,0,,1,S,0,S,30,0.78669,0.009116,0.007172,,0
3,60,2,6,0,0,1,,4,S,0,S,17,0,0.787833,0,,0
3,61,7,1,0,0,1,,6,S,0,S,15,0.78369,0,0,,0
3,62,4,8,0,0,1,,4,S,0,S,15,0.005154,0.77897,0.004015,,0
3,63,8,7,0,0,0,,1,S,0,S,24,0.007906,0.78235,0.006185,,0
3,64,5,2,0,0,1,,3,S,0,S,17,0.769217,0.015244,0.011726,,0
3,65,8,2,0,0,1,,6,S,0,S,16,0.778272,0.005316,0.004137,,0
3,66,3,2,0,0,1,,1,S,0,S,26,0.792653,0.001323,0.001048,,0
3,67,6,7,0,0,1,,1,S,0,S,32,0.027997,0.758225,0.021228,,0
3,68,9,2,0,0,1,,7,L,0,S,15,0.772485,0.006375,0.004925,,0
3,69,6,9,0,0,1,,3,S,0,S,34,0.031389,0.757858,0.023788,,0
3,70,7,2,0,0,1,,5,S,0,S,16,0.777663,0.004158,0.003234,,0
3,71,1,9,0,0,1,,8,L,0,S,15,0,0.791028,0,,0
3,72,1,5,0,0,1,,4,S,0,S,17,0.00479,0.78147,0.003743,,0
4,1,9,8,0,0,1,,1,S,0,S,26,0.77831,0.012523,0.009747,,L
4,2,4,5,0,0,1,,1,S,0,S,27,0.003242,0.791276,0.002565,,0
4,3,4,2,0,0,1,,2,S,0,S,23,0.759198,0.02981,0.022632,,0
4,4,8,4,0,0,1,,4,S,0,S,17,0.76676,0.016969,0.013011,,0
4,5,1,4,0,0,1,,3,S,0,S,15,0,0.792153,0,,0
4,6,5,2,0,0,1,,3,S,0,S,22,0.778613,0.014697,0.011443,,0
4,7,4,9,0,0,1,,5,S,0,S,16,0,0.788497,0,,0
4,8,8,6,0,0,1,,2,S,0,S,18,0.769792,0.018983,0.014613,,0
4,9,6,3,0,0,1,,3,S,0,S,20,0.7506,0.036628,0.027493,,0
4,10,5,6,0,0,1,,1,S,0,S,23,0.002159,0.794294,0.001715,,0
4,11,5,8,0,0,1,,3,S,0,S,17,0,0.790465,0,,0
4,12,1,6,0,0,1,,5,S,0,S,14,0.009465,0.766566,0.007256,,0
4,13,5,3,0,0,1,,2,S,0,S,22,0.754386,0.03518,0.026539,,0
4,14,8,2,0,0,1,,6,S,0,S,17,0.793784,0,0,,0
4,15,8,1,0,0,1,,7,L,0,S,14,0.769263,0.009479,0.007292,,0
4,16,1,7,0,0,1,,6,S,0,S,14,0,0.786831,0,,0
4,17,9,6,0,0,1,,3,S,0,S,17,0.769198,0.014682,0.011293,,0
4,18,7,4,0,0,1,,3,S,0,S,16,0.774837,0.006679,0.005175,,0
4,19,5,1,0,0,1,,4,S,0,S,15,0.752759,0.025514,0.019206,,0
4,20,2,7,0,0,1,,5,S,0,S,17,0.010536,0.774954,0.008165,,0
4,21,3,8,0,0,1,,5,S,0,S,16,0.01986,0.761661,0.015126,,0
4,22,7,2,0,0,1,,5,S,0,S,16,0.795162,0,0,,0
4,23,6,7,0,0,1,,1,S,0,S,20,0.00212,0.790741,0.001676,,0
4,24,3,5,0,0,1,,2,S,0,S,24,0.001861,0.792684,0.001475,,0
4,25,8,3,0,0,1,,5,S,0,S,17,0.791164,0.001352,0.00107,,0
4,26,9,1,0,0,1,,8,L,0,S,14,0.779884,0,0,,0
4,27,8,5,0,0,1,,3,S,0,S,17,0.758085,0.025529,0.019353,,0
4,28,2,8,0,0,1,,6,S,0,S,16,0,0.789549,0,,0
4,29,5,4,0,0,1,,1,S,0,S,25,0.765158,0.023185,0.01774,,0
4,30,1,3,0,0,1,,2,S,0,S,15,0,0.794667,0,,0
4,31,9,3,0,0,1,,6,S,0,S,16,0.77325,0.01046,0.008088,,0
4,32,3,7,0,0,1,,4,S,0,S,18,0.011198,0.776478,0.008695,,0
4,33,9,2,0,0,1,,7,L,0,S,16,0.774951,0.008254,0.006396,,0
4,34,3,2,0,0,1,,1,S,0,S,26,0.768181,0.023452,0.018015,,0
4,35,6,9,0,0,1,,3,S,0,S,16,0.014815,0.767086,0.011364,,0
4,36,9,7,0,0,1,,2,S,0,S,19,0.775276,0.011407,0.008843,,0
4,37,2,1,0,0,1,,1,S,0,S,16,0.752593,0.027626,0.020791,,S
4,38,3,4,0,0,1,,1,S,0,S,27,0.005683,0.786236,0.004468,,0
4,39,4,6,0,0,1,,2,S,0,S,21,0.034187,0.752364,0.025721,,0
4,40,2,3,0,0,1,,1,S,0,S,22,0.008164,0.786576,0.006421,,0
4,41,1,9,0,0,1,,8,L,0,S,13,0,0.772631,0,,0
4,42,4,3,0,0,1,,1,S,0,S,24,0.764141,0.027122,0.020725,,0
4,43,2,6,0,0,1,,4,S,0,S,19,0.000969,0.791643,0.000767,,0
4,44,2,5,0,0,1,,3,S,0,S,20,0.015339,0.773424,0.011864,,0
4,45,7,6,0,0,1,,1,S,0,S,17,0.796425,0,0,,0
4,46,7,3,0,0,1,,4,S,0,S,16,0.793895,0,0,,0
4,47,5,7,0,0,1,,2,S,0,S,19,0.003201,0.788721,0.002524,,0
4,48,6,8,0,0,1,,2,S,0,S,17,0.016909,0.768565,0.012996,,0
4,49,2,4,0,0,1,,2,S,0,S,21,0.011188,0.777141,0.008695,,0
4,50,7,9,0,0,1,,2,S,0,S,24,0.032142,0.753532,0.02422,,0
4,51,1,8,0,0,1,,7,L,0,S,13,0.00947,0.759736,0.007195,,0
4,52,3,1,0,0,1,,2,S,0,S,16,0.784304,0.002971,0.00233,,0
4,53,6,1,0,0,1,,5,S,0,S,15,0.765229,0.015517,0.011874,,0
4,54,1,2,0,0,1,,1,S,0,S,15,0,0.790062,0,,S
4,55,6,5,0,0,1,,1,S,0,S,23,0.761686,0.027042,0.020598,,0
4,56,7,8,0,0,0,,1,S,0,S,22,0.787073,0.005797,0.004563,,0
4,57,3,6,0,0,1,,3,S,0,S,20,0.03487,0.750876,0.026183,,0
4,58,4,7,0,0,1,,3,S,0,S,18,0.025732,0.757946,0.019503,,0
4,59,6,2,0,0,1,,4,S,0,S,20,0.763774,0.025135,0.019198,,0
4,60,6,4,0,0,1,,2,S,0,S,22,0.775256,0.013919,0.010791,,0
4,61,1,5,0,0,1,,4,S,0,S,14,0.019823,0.751817,0.014904,,0
4,62,5,9,0,0,1,,4,S,0,S,16,0.002222,0.783434,0.00174,,0
4,63,8,7,0,0,1,,1,S,0,S,21,0.763378,0.025804,0.019698,,0
4,64,3,9,0,0,1,,6,S,0,S,16,0,0.796772,0,,0
4,65,2,9,0,0,1,,7,L,0,S,15,0.008426,0.77092,0.006495,,0
4,66,7,1,0,0,1,,6,S,0,S,14,0.791144,0,0,,0
4,67,7,5,0,0,1,,2,S,0,S,16,0.770413,0.011781,0.009076,,0
4,68,4,8,0,0,1,,4,S,0,S,16,0.028357,0.750584,0.021284,,0
4,69,9,5,0,0,1,,4,S,0,S,17,0.793351,0,0,,0
4,70,4,1,0,0,1,,3,S,0,S,16,0.792188,0,0,,0
4,71,8,9,0,0,1,,1,S,0,S,19,0.004557,0.787173,0.003587,,L
4,72,9,4,0,0,1,,5,S,0,S,16,0.752202,0.023173,0.017431,,0
5,1,5,4,0,0,1,,1,S,0,S,26,0.767978,0.019631,0.015076,,0
5,2,4,7,0,0,1,,3,S,0,S,17,0.006724,0.777973,0.005231,,0
5,3,5,2,0,0,1,,3,S,0,S,18,0.763869,0.020365,0.015556,,0
